Title,pos,neg,k=2,k=3,k=4,k=5
Arangetram,0.166,0.11,0,1,0,2
The French Lieutenant's Woman,0.139,0.047,0,1,0,3
Ragada,0.09699999999999999,0.077,0,2,3,0
Apache Drums,0.0,0.166,1,0,2,4
Leprechaun 3,0.095,0.109,0,2,1,2
The 13th Alley,0.094,0.071,0,2,3,0
Bahaddur Gandu,0.085,0.129,1,0,1,4
The Happy Thieves,0.083,0.23,1,0,2,1
Ernest Saves Christmas,0.09,0.105,0,2,1,2
Laughology,0.223,0.042,0,1,0,3
Pure Coolness,0.062,0.1,0,2,1,4
"Move Over, Darling",0.09,0.064,0,2,3,0
The Princess Comes Across,0.0,0.175,1,0,2,4
Reign of the Gargoyles,0.035,0.21100000000000002,1,0,2,1
Suicide Club,0.046,0.079,0,2,3,0
Dracula vs. Frankenstein,0.249,0.107,0,1,0,3
The Portraitist,0.145,0.078,0,1,0,2
Arthur Christmas,0.111,0.09,0,2,1,2
Mama,0.0,0.125,1,2,1,4
Partner,0.21899999999999997,0.062,0,1,0,3
Baby,0.091,0.19699999999999998,1,0,2,1
Going! Going! Gosh!,0.055999999999999994,0.08,0,2,3,0
Les liaisons dangereuses,0.09300000000000001,0.085,0,2,3,2
Twilight Dancers,0.095,0.087,0,2,1,2
Wild Wild Winter,0.133,0.054000000000000006,0,1,0,3
Tahader Katha,0.098,0.11599999999999999,0,2,1,2
The Chambermaid on the Titanic,0.14400000000000002,0.081,0,1,0,2
Farz,0.027000000000000003,0.32299999999999995,1,0,2,1
Kora Kagaz,0.08199999999999999,0.08,0,2,3,0
Donald and Pluto,0.047,0.10400000000000001,1,2,1,4
Legion of the Dead,0.0,0.259,1,0,2,1
God is My Co-Pilot,0.057999999999999996,0.125,1,2,1,4
Arch of Triumph,0.083,0.196,1,0,2,1
Legend Of The Bat,0.04,0.11,1,2,1,4
Jurm,0.14300000000000002,0.132,0,1,0,2
Washee Ironee,0.183,0.0,0,1,0,3
Cannibal Campout,0.09699999999999999,0.19899999999999998,1,0,2,1
Ski for Two,0.127,0.037000000000000005,0,1,0,3
Lick the Star,0.07400000000000001,0.135,1,0,1,4
Bougafer 33,0.038,0.106,1,2,1,4
"Chung Kuo, Cina",0.040999999999999995,0.043,0,2,3,0
Losin' It,0.0,0.036000000000000004,0,2,3,0
Les Guichets du Louvre,0.106,0.0,0,2,3,0
Big Trouble,0.031,0.094,1,2,3,4
Tale of a Dog,0.08900000000000001,0.07200000000000001,0,2,3,0
The Twilight Saga: Breaking Dawn - Part 1,0.07400000000000001,0.14,1,0,1,4
Helen's Babies,0.106,0.078,0,2,3,2
Caliche sangriento,0.04,0.09,0,2,3,4
New York City Serenade,0.18600000000000003,0.019,0,1,0,3
Treasure Island,0.139,0.0,0,1,0,3
Take the High Ground!,0.07400000000000001,0.08900000000000001,0,2,3,0
Kithakithalu,0.115,0.113,0,1,1,2
To SquarePants or Not to SquarePants,0.055999999999999994,0.096,0,2,1,4
The Court-Martial of Billy Mitchell,0.078,0.161,1,0,1,4
Carry On Jack,0.133,0.098,0,1,0,2
Atanarjuat,0.095,0.156,1,0,1,2
The Legend of the Sky Kingdom,0.102,0.15,1,0,1,2
Hollywood-Hong Kong,0.08800000000000001,0.078,0,2,3,0
Firestarter 2: Rekindled,0.069,0.145,1,0,1,4
La Cathédrale,0.0,0.055,0,2,3,0
Skull Heads,0.052000000000000005,0.095,0,2,1,4
History Is Made at Night,0.10099999999999999,0.095,0,2,1,2
Rikshavodu,0.094,0.13,1,0,1,2
Shrimad Virat Veerabrahmendra Swami Charitra,0.0,0.0,0,2,3,0
The Pianist,0.069,0.2,1,0,2,1
Na Ghar Ke Na Ghaat Ke,0.085,0.016,0,2,3,0
Ah kai na 'moun antras,0.253,0.145,0,1,0,3
Mothra,0.07400000000000001,0.068,0,2,3,0
Legacy,0.124,0.18,1,0,1,2
One Stone Two Birds,0.062,0.099,0,2,1,4
Testament,0.064,0.177,1,0,2,1
Volcanic Sprint,0.054000000000000006,0.02,0,2,3,0
His Girl Friday,0.024,0.064,0,2,3,0
Bitter Moon,0.095,0.12,1,2,1,2
Waxworks,0.10099999999999999,0.087,0,2,1,2
Free Woman,0.0,0.0,0,2,3,0
Jimmy,0.02,0.255,1,0,2,1
Bees Saal Baad,0.11900000000000001,0.1,0,1,1,2
Jail Bait,0.10300000000000001,0.2,1,0,2,1
The Eagle Has Landed,0.1,0.1,0,2,1,2
The Narrows,0.149,0.009000000000000001,0,1,0,3
Neverland,0.10800000000000001,0.025,0,2,3,0
Ninne Pelladutha,0.21100000000000002,0.027000000000000003,0,1,0,3
A Girl of Yesterday,0.131,0.08,0,1,0,2
Double Platinum,0.10099999999999999,0.073,0,2,3,0
Railroaded!,0.062,0.214,1,0,2,1
Fish Above Sea Level,0.053,0.11,1,2,1,4
Bear Shooters,0.057,0.085,0,2,3,0
The Name of the Rose,0.085,0.132,1,0,1,4
Outside the Law,0.11,0.115,0,2,1,2
The Green Swamp,0.092,0.156,1,0,1,4
Objection/Hatred,0.095,0.10800000000000001,0,2,1,2
Blue Velvet,0.071,0.14,1,0,1,4
Ghost From The Machine,0.045,0.235,1,0,2,1
Frankenstein's Daughter,0.045,0.085,0,2,3,4
Broadway Melody of 1940,0.146,0.059000000000000004,0,1,0,3
Pandippada,0.091,0.098,0,2,1,2
Sorted,0.141,0.136,0,1,1,2
Galaxy of Terror,0.043,0.109,1,2,1,4
The Revenge of the Electric Car,0.021,0.135,1,0,1,4
Flight from Singapore,0.0,0.231,1,0,2,1
Die Stadt ohne Juden,0.09699999999999999,0.054000000000000006,0,2,3,0
Kalyan Ram Kathi,0.040999999999999995,0.25,1,0,2,1
Accident,0.043,0.129,1,0,1,4
Aai,0.14800000000000002,0.098,0,1,0,2
Against the Law,0.027000000000000003,0.29,1,0,2,1
Amanda Knox: Murder on Trial in Italy,0.027000000000000003,0.10800000000000001,1,2,1,4
Earth,0.2,0.042,0,1,0,3
The Beast,0.127,0.092,0,1,0,2
Suhaag,0.07400000000000001,0.205,1,0,2,1
The Great Match,0.106,0.0,0,2,3,0
Vanni Mouse,0.07,0.147,1,0,1,4
Mutants,0.067,0.153,1,0,1,4
Salvador,0.105,0.136,1,0,1,2
Chicago Joe and the Showgirl,0.066,0.071,0,2,3,0
The Yellow Sea,0.035,0.11599999999999999,1,2,1,4
The Two Jakes,0.012,0.077,0,2,3,0
Scarred,0.08,0.027999999999999997,0,2,3,0
Hawas,0.14800000000000002,0.042,0,1,0,3
The Truth Below,0.076,0.102,0,2,1,4
Goldfish Warning!,0.201,0.049,0,1,0,3
Housewife,0.11900000000000001,0.11199999999999999,0,1,1,2
Justice,0.057999999999999996,0.022000000000000002,0,2,3,0
Ring: Kanzenban,0.08800000000000001,0.16,1,0,1,4
Life with Mikey,0.052000000000000005,0.0,0,2,3,0
Scarlet Street,0.109,0.142,1,0,1,2
Morgan and Destiny's Eleventeenth Date: The Zeppelin Zoo,0.11699999999999999,0.06,0,1,0,0
Indradhanura Chhai,0.135,0.086,0,1,0,2
Barfuß bis zum Hals,0.099,0.09,0,2,1,2
Cousin White Paper: Aching Mature Lewdness,0.0,0.0,0,2,3,0
Donovan's Reef,0.061,0.091,0,2,3,4
Fat Pizza: The Movie,0.0,0.1,1,2,3,4
Jananam,0.063,0.249,1,0,2,1
Ultraman Saga,0.059000000000000004,0.11900000000000001,1,2,1,4
Bionicle: Mask of Light: The Movie,0.047,0.146,1,0,1,4
The Sleeping Pricess in the Devil's Castle,0.064,0.061,0,2,3,0
The Chorus,0.105,0.115,0,2,1,2
Doghouse,0.07200000000000001,0.162,1,0,1,4
A Killer Among Us,0.047,0.17600000000000002,1,0,2,1
Take Out,0.049,0.07200000000000001,0,2,3,0
Voices,0.05,0.17,1,0,2,4
I've Heard the Mermaids Singing,0.094,0.084,0,2,3,2
School of Life,0.16,0.083,0,1,0,3
Southland Tales,0.043,0.086,0,2,3,4
Prayer of the Rollerboys,0.057,0.182,1,0,2,1
Saratoga,0.131,0.087,0,1,0,2
The Man Who Knew Too Much,0.043,0.09699999999999999,0,2,1,4
Pyaar Tune Kya Kiya,0.147,0.11199999999999999,0,1,0,2
A Thief in the Night,0.07400000000000001,0.155,1,0,1,4
The Feminine Touch,0.1,0.161,1,0,1,2
Pink in the Drink,0.037000000000000005,0.166,1,0,2,4
Angel Baby,0.061,0.067,0,2,3,0
Session 9,0.049,0.19699999999999998,1,0,2,1
"The Virgin, the Copts and Me",0.10800000000000001,0.0,0,1,3,0
Malombra,0.016,0.233,1,0,2,1
Xica,0.133,0.0,0,1,0,3
Vice Raid,0.09699999999999999,0.187,1,0,2,1
Helldriver,0.0,0.13699999999999998,1,0,1,4
The Power and the Prize,0.073,0.068,0,2,3,0
The Phantom Express,0.0,0.091,1,2,3,4
Nadia,0.16899999999999998,0.057,0,1,0,3
My Blue Heaven,0.124,0.0,0,1,0,0
Bunty Aur Babli,0.122,0.095,0,1,0,2
Space Invasion of Lapland,0.0,0.19399999999999998,1,0,2,1
Jawbreaker,0.12,0.18,1,0,2,2
Frequently Asked Questions About Time Travel,0.048,0.081,0,2,3,0
The Sailor's Song,0.055,0.11900000000000001,1,2,1,4
Eddelu Manjunatha,0.15,0.095,0,1,0,2
The Man Who Knew Too Much,0.054000000000000006,0.128,1,0,1,4
The Sin of a Woman,0.055,0.204,1,0,2,1
The Band's Visit,0.047,0.047,0,2,3,0
Wedding Bell Blues,0.026000000000000002,0.0,0,2,3,0
Love Me If You Dare,0.11,0.078,0,2,3,2
Mountain Strawberries,0.0,0.198,1,0,2,1
Tyagayya,0.057999999999999996,0.16,1,0,1,4
Anandabhairavi,0.153,0.0,0,1,0,3
Ambush at Cimarron Pass,0.06,0.11199999999999999,1,2,1,4
Prosperity Blues,0.157,0.136,0,1,0,2
$,0.084,0.081,0,2,3,0
Time Out for Lessons,0.154,0.08199999999999999,0,1,0,3
Stalingrad,0.055999999999999994,0.183,1,0,2,1
Nongjungjo,0.134,0.0,0,1,0,3
Invitation to Hell,0.141,0.023,0,1,0,3
The Shooting Of Dan McGoo,0.034,0.124,1,2,1,4
Little John,0.066,0.11800000000000001,1,2,1,4
The 27th Day,0.078,0.09699999999999999,0,2,1,4
16 Vayathinile,0.171,0.065,0,1,0,3
Redline,0.081,0.061,0,2,3,0
Henpecked,0.07400000000000001,0.07400000000000001,0,2,3,0
Spring Break '83,0.095,0.23,1,0,2,1
Truck Turner,0.0,0.091,1,2,3,4
Amalfi: Rewards of the Goddess,0.1,0.038,0,2,3,0
"Justice, My Foot",0.136,0.10099999999999999,0,1,0,2
The Crime of the Century,0.0,0.196,1,0,2,1
Pasa Kiligal,0.13,0.138,1,0,1,2
Transylvania Twist,0.07400000000000001,0.091,0,2,1,4
Gente di Roma,0.11800000000000001,0.047,0,1,0,0
It,0.0,0.177,1,0,2,4
Bushy Hare,0.019,0.1,1,2,1,4
Their Purple Moment,0.042,0.0,0,2,3,0
Ustadi Ustad Se,0.15,0.0,0,1,0,3
Gincho Wataridori,0.035,0.193,1,0,2,1
Gumby: The Movie,0.094,0.115,0,2,1,2
A Matter of Loaf and Death,0.066,0.142,1,0,1,4
The Mission,0.0,0.32799999999999996,1,0,2,1
Noose,0.138,0.11800000000000001,0,1,0,2
Corsair,0.048,0.033,0,2,3,0
David and Goliath,0.07400000000000001,0.13,1,0,1,4
Zatoichi,0.034,0.14,1,0,1,4
Space Cowboys,0.067,0.115,1,2,1,4
Kite,0.046,0.196,1,0,2,1
Pastor Brown,0.073,0.04,0,2,3,0
The Railroad,0.0,0.244,1,0,2,1
Stealing Time,0.091,0.114,0,2,1,2
"20,000 Leagues Under the Sea",0.134,0.146,1,0,1,2
Stick,0.08,0.163,1,0,1,4
In the Bedroom,0.079,0.23600000000000002,1,0,2,1
The Lost Prince,0.096,0.059000000000000004,0,2,3,0
Bully for Pink,0.0,0.04,0,2,3,0
Me Shivajiraje Bhosale Boltoy,0.10300000000000001,0.135,1,0,1,2
Maangamizi: The Ancient One,0.10800000000000001,0.0,0,1,3,0
Being Human,0.043,0.049,0,2,3,0
Officer 444,0.147,0.122,0,1,0,2
The Red Horses,0.183,0.09699999999999999,0,1,0,3
Swan Lake,0.136,0.08900000000000001,0,1,0,2
Soaappu Seeppu Kannadi,0.09300000000000001,0.085,0,2,3,2
Frozen Assets,0.11,0.061,0,2,3,0
Illegal Aliens,0.16,0.271,1,0,2,1
Demon Under Glass,0.079,0.07400000000000001,0,2,3,0
Bad Ol' Putty Tat,0.040999999999999995,0.077,0,2,3,0
Persepolis,0.107,0.165,1,0,1,2
Achanak,0.11699999999999999,0.21899999999999997,1,0,2,1
It Happened Here,0.075,0.079,0,2,3,0
Team Queen,0.096,0.064,0,2,3,0
Madeleine,0.124,0.115,0,1,1,2
Palletooru,0.156,0.12,0,1,0,2
Caterina in the Big City,0.114,0.096,0,1,1,2
Dustbin Baby,0.044000000000000004,0.062,0,2,3,0
Audace colpo dei soliti ignoti,0.07400000000000001,0.040999999999999995,0,2,3,0
Thirteen Days,0.044000000000000004,0.107,1,2,1,4
Waldo's Last Stand,0.052000000000000005,0.039,0,2,3,0
The Guests,0.11699999999999999,0.055999999999999994,0,1,0,0
Grey Gardens,0.037000000000000005,0.03,0,2,3,0
Here Without Me,0.22,0.064,0,1,0,3
Kalicharan,0.133,0.16,1,0,1,2
Paris in Spring,0.12,0.121,0,1,1,2
Heaven or Vegas,0.094,0.075,0,2,3,0
Rocket Singh: Salesman of the Year,0.128,0.096,0,1,0,2
The Raven,0.061,0.079,0,2,3,0
Mutiny On The Bunny,0.035,0.075,0,2,3,0
Sung horn,0.055999999999999994,0.073,0,2,3,0
The Nanny Diaries,0.051,0.106,1,2,1,4
Poverty and Nobility,0.187,0.059000000000000004,0,1,0,3
Horses' Collars,0.0,0.049,0,2,3,0
See Grace Fly,0.166,0.14400000000000002,0,1,0,2
Pained,0.038,0.321,1,0,2,1
Casino Royale,0.07200000000000001,0.10400000000000001,0,2,1,4
The House on the Edge of the Park,0.065,0.155,1,0,1,4
Robinson Crusoe,0.040999999999999995,0.055999999999999994,0,2,3,0
Pink Tush Girl,0.113,0.0,0,1,3,0
Holiday in the Sun,0.179,0.098,0,1,0,3
Crazy Waiting,0.198,0.10800000000000001,0,1,0,3
The Dangerous Lives of Altar Boys,0.055999999999999994,0.113,1,2,1,4
Peddamanushulu,0.032,0.113,1,2,1,4
Kong Island,0.055,0.113,1,2,1,4
Singles,0.127,0.040999999999999995,0,1,0,3
Shanghai Express,0.142,0.092,0,1,0,2
Brewster McCloud,0.040999999999999995,0.063,0,2,3,0
Étoile,0.091,0.23,1,0,2,1
Bullies,0.036000000000000004,0.205,1,0,2,1
Vargam,0.08800000000000001,0.124,1,2,1,2
Who is the champion ?,0.259,0.0,0,1,0,3
The Pumpkin Karver,0.064,0.281,1,0,2,1
Pour Sacha,0.161,0.174,1,0,1,2
Anna Karenina,0.054000000000000006,0.045,0,2,3,0
Hair,0.047,0.084,0,2,3,0
Summerfield,0.031,0.036000000000000004,0,2,3,0
Josh and S.A.M.,0.057,0.071,0,2,3,0
"Je vais bien, ne t'en fais pas",0.081,0.07200000000000001,0,2,3,0
Best Foot Forward,0.091,0.05,0,2,3,0
Image of the Beast,0.062,0.141,1,0,1,4
Angels of the Universe,0.027999999999999997,0.091,1,2,3,4
Next of Kin,0.05,0.044000000000000004,0,2,3,0
Restless,0.077,0.14400000000000002,1,0,1,4
Amma Ariyan,0.067,0.157,1,0,1,4
Dragon,0.059000000000000004,0.122,1,2,1,4
Tess of the Storm Country,0.102,0.158,1,0,1,2
"Duck, Duck, Goose!",0.24600000000000002,0.17300000000000001,0,1,0,3
The Lodger,0.032,0.154,1,0,1,4
Clover,0.099,0.133,1,0,1,2
Coma,0.026000000000000002,0.11599999999999999,1,2,1,4
Nanjundi Kalyana,0.113,0.051,0,1,3,0
Dancing in September,0.162,0.079,0,1,0,3
Yeddi Ogul Isterem,0.16899999999999998,0.0,0,1,0,3
Evening Rain,0.11599999999999999,0.11900000000000001,0,1,1,2
Stitch! The Movie,0.040999999999999995,0.08800000000000001,0,2,3,4
Aap Ki Kasam,0.165,0.131,0,1,0,2
Punishment Park,0.09699999999999999,0.13,1,0,1,2
The Quick and the Dead,0.13,0.0,0,1,0,3
Don't Look Back,0.122,0.023,0,1,0,0
Great World of Sound,0.034,0.028999999999999998,0,2,3,0
Mistress,0.08900000000000001,0.095,0,2,1,2
The Station Agent,0.1,0.071,0,2,3,0
Harper Valley PTA,0.10099999999999999,0.14,1,0,1,2
But Forever in My Mind,0.064,0.071,0,2,3,0
Mississippi,0.09300000000000001,0.157,1,0,1,2
The Culpepper Cattle Co.,0.09,0.125,1,2,1,2
Lovelorn,0.08900000000000001,0.065,0,2,3,0
Mickey's Big Broadcast,0.0,0.106,1,2,1,4
Philips Cavalcade,0.062,0.0,0,2,3,0
My Monster Mom,0.106,0.106,0,2,1,2
Cinta Pertama,0.042,0.19899999999999998,1,0,2,1
International Crime,0.106,0.133,1,0,1,2
Hapkido,0.055,0.17,1,0,2,4
"Perdona bonita, pero Lucas me quería a mí",0.17800000000000002,0.11,0,1,0,2
The Number 23,0.064,0.166,1,0,1,4
Drooler's Delight,0.115,0.11599999999999999,0,1,1,2
Claustrophobia,0.18100000000000002,0.035,0,1,0,3
Swing Time,0.214,0.1,0,1,0,3
Recess Christmas: Miracle on Third Street,0.08800000000000001,0.096,0,2,1,2
The Right Stuff,0.109,0.10099999999999999,0,2,1,2
Thunder,0.12300000000000001,0.171,1,0,1,2
The Autograph Hound,0.05,0.055,0,2,3,0
One Million Years BC,0.075,0.196,1,0,2,1
The Three Burials of Melquiades Estrada,0.045,0.127,1,0,1,4
Samastha Keralam PO,0.141,0.177,1,0,1,2
Kedma,0.023,0.155,1,0,1,4
Mr. Incredible and Pals,0.047,0.165,1,0,1,4
Harum Scarum,0.126,0.08,0,1,0,2
Wicked Stepmother,0.040999999999999995,0.084,0,2,3,4
Kanhaiya,0.131,0.092,0,1,0,2
Ein Job,0.028999999999999998,0.052000000000000005,0,2,3,0
Wonder Bar,0.081,0.11,0,2,1,4
The Zoot Cat,0.048,0.031,0,2,3,0
A New Life,0.0,0.0,0,2,3,0
Cairo Time,0.075,0.044000000000000004,0,2,3,0
Cosmic Voyage,0.0,0.022000000000000002,0,2,3,0
The Joan of Arc of Loos,0.18100000000000002,0.03,0,1,0,3
Lucky Girl,0.10400000000000001,0.09699999999999999,0,2,1,2
The Tale of Sweeney Todd,0.066,0.158,1,0,1,4
Atlantic Flight,0.162,0.11199999999999999,0,1,0,2
Familie Benthin,0.052000000000000005,0.061,0,2,3,0
Njan Gandharvan,0.109,0.135,1,0,1,2
Diary of a Mad Housewife,0.071,0.163,1,0,1,4
SD Gundam Sangokuden Brave Battle Warriors,0.057,0.031,0,2,3,0
Solitary Fragments,0.073,0.12,1,2,1,4
Kill Me Later,0.08900000000000001,0.16399999999999998,1,0,1,4
Her Night of Romance,0.07,0.08900000000000001,0,2,3,0
Aloo Chaat,0.09699999999999999,0.057,0,2,3,0
The Star Packer,0.08800000000000001,0.126,1,0,1,2
La séparation,0.105,0.1,0,2,1,2
Apio verde,0.048,0.185,1,0,2,1
Albert Nobbs,0.076,0.13,1,0,1,4
Julie Johnson,0.105,0.115,0,2,1,2
Cure,0.046,0.21,1,0,2,1
A Sip of Love,0.10300000000000001,0.21600000000000003,1,0,2,1
La Leyenda de la Llorona,0.10300000000000001,0.087,0,2,1,2
Hollywood,0.18899999999999997,0.055999999999999994,0,1,0,3
Show Me Love,0.134,0.14400000000000002,1,0,1,2
Holly Hobbie and Friends: Christmas Wishes,0.149,0.107,0,1,0,2
Heart of a Dog,0.023,0.10400000000000001,1,2,1,4
The Girlfriend Experience,0.012,0.068,0,2,3,0
The Score,0.0,0.318,1,0,2,1
Shanks,0.037000000000000005,0.16899999999999998,1,0,2,4
Alice in Wonderland,0.17800000000000002,0.05,0,1,0,3
"Bye, Bye Bluebeard",0.04,0.16399999999999998,1,0,1,4
Buck Privates Come Home,0.138,0.018000000000000002,0,1,0,3
Baghead,0.0,0.05,0,2,3,0
Sex & Philosophy,0.069,0.053,0,2,3,0
The Rebound,0.09,0.037000000000000005,0,2,3,0
Myriad of Lights,0.021,0.125,1,2,1,4
Once You Meet a Stranger,0.08800000000000001,0.077,0,2,3,0
Semillas que el mar arrastra,0.092,0.0,0,2,3,0
Patagonia,0.066,0.026000000000000002,0,2,3,0
Wild Hearts Can't Be Broken,0.092,0.07400000000000001,0,2,3,0
An Affair to Remember,0.087,0.069,0,2,3,0
¡Qué viva México!,0.057,0.045,0,2,3,0
Rescue From Gilligan's Island,0.11599999999999999,0.057,0,1,0,0
Leatherface: Texas Chainsaw Massacre III,0.035,0.151,1,0,1,4
Eleni,0.059000000000000004,0.10099999999999999,0,2,1,4
"I Love You, Man",0.13699999999999998,0.092,0,1,0,2
I.T.A.L.Y.,0.222,0.025,0,1,0,3
Two or Three Things I Know About Her,0.04,0.045,0,2,3,0
Out on a Limb,0.048,0.11,1,2,1,4
Chomana Dudi,0.048,0.106,1,2,1,4
The Monastery of Sendomir,0.0,0.012,0,2,3,0
All Night Long,0.09300000000000001,0.092,0,2,1,2
Here Comes The Bride,0.037000000000000005,0.053,0,2,3,0
Emanuel and the Truth about Fishes,0.0,0.33299999999999996,1,0,2,1
The Denial,0.0,0.0,0,2,3,0
So Ends Our Night,0.0,0.12300000000000001,1,2,1,4
Franklin and the Green Knight,0.12300000000000001,0.055999999999999994,0,1,0,0
Dard,0.127,0.09699999999999999,0,1,0,2
Pooh's Grand Adventure: The Search for Christopher Robin,0.109,0.075,0,2,3,2
Greenfingers,0.332,0.045,0,1,0,3
Riot in Cell Block 11,0.04,0.19399999999999998,1,0,2,1
Union Pacific,0.12300000000000001,0.141,1,0,1,2
Beyond Words,0.043,0.031,0,2,3,0
Slaughterhouse Rock,0.07200000000000001,0.24,1,0,2,1
It Happened in Brooklyn,0.201,0.068,0,1,0,3
As Young as You Feel,0.1,0.052000000000000005,0,2,3,0
The Castle of Fu Manchu,0.068,0.14300000000000002,1,0,1,4
Inimey Nangathan,0.217,0.0,0,1,0,3
Murder C.O.D.,0.0,0.0,0,2,3,0
The Scalphunters,0.094,0.09699999999999999,0,2,1,2
Sleepwalkers,0.076,0.15,1,0,1,4
Kiss the Bride Goodbye,0.064,0.115,1,2,1,4
Crimson Tide,0.086,0.11699999999999999,1,2,1,2
Clay,0.063,0.228,1,0,2,1
Treasure Island,0.094,0.08900000000000001,0,2,1,2
Leif,0.057,0.133,1,0,1,4
A Dirty Shame,0.039,0.09300000000000001,0,2,3,4
Two Girls on Broadway,0.14,0.063,0,1,0,3
Old Men in New Cars,0.025,0.102,1,2,1,4
Bending the Rules,0.064,0.136,1,0,1,4
Made in U.S.A.,0.038,0.192,1,0,2,1
Bas Ek Pal,0.07200000000000001,0.113,1,2,1,4
The King of Kings,0.053,0.107,1,2,1,4
Ready to Rumble,0.10300000000000001,0.08,0,2,3,2
The Mountain Calls,0.11,0.0,0,1,3,0
Cattle Queen of Montana,0.096,0.2,1,0,2,1
King,0.128,0.069,0,1,0,2
Wonder Woman,0.078,0.185,1,0,2,1
A Walk in the Clouds,0.11199999999999999,0.107,0,2,1,2
The Monster That Challenged the World,0.024,0.185,1,0,2,1
Dead or Alive 2: Birds,0.113,0.247,1,0,2,1
Balakirev the Buffoon,0.115,0.0,0,1,3,0
"Good Men, Good Women",0.017,0.157,1,0,1,4
Duplicate,0.11199999999999999,0.138,1,0,1,2
Mondo Trasho,0.12,0.077,0,1,0,2
"Captain Newman, M.D.",0.10300000000000001,0.106,0,2,1,2
The Mad Doctor,0.045,0.06,0,2,3,0
More Dead Than Alive,0.063,0.191,1,0,2,1
Tomorrow's Children,0.065,0.221,1,0,2,1
The Geisha Boy,0.09300000000000001,0.083,0,2,3,2
Magma Head,0.177,0.109,0,1,0,2
Switchback,0.046,0.13699999999999998,1,0,1,4
Chathikkatha Chanthu,0.10099999999999999,0.099,0,2,1,2
Les Ambassadeurs,0.057,0.233,1,0,2,1
The Lucky Corner,0.034,0.06,0,2,3,0
200 Pounds Beauty,0.149,0.09300000000000001,0,1,0,2
The Road to Freedom,0.12,0.0,0,1,3,0
Pokémon Apokélypse,0.07200000000000001,0.184,1,0,2,1
Night Hair Child,0.085,0.154,1,0,1,4
The Boy Who Stole a Million,0.1,0.08199999999999999,0,2,3,2
The Show,0.0,0.276,1,0,2,1
An American Werewolf in London,0.033,0.196,1,0,2,1
My Brother Is an Only Child,0.08,0.063,0,2,3,0
The Lovers of the Arctic Circle,0.098,0.069,0,2,3,0
Halloween 5: The Revenge of Michael Myers,0.083,0.18,1,0,2,1
Stage-Struck Tora-san,0.122,0.08900000000000001,0,1,0,2
"Bert Rigby, You're a Fool",0.091,0.059000000000000004,0,2,3,0
Lanka,0.094,0.16399999999999998,1,0,1,2
Dead Like Me: Life After Death,0.054000000000000006,0.125,1,2,1,4
Lost in the Dark,0.076,0.092,0,2,1,4
Makkalai Petra Maharasi,0.125,0.067,0,1,0,2
Lovely Mary,0.14800000000000002,0.12,0,1,0,2
Berlin Calling,0.071,0.031,0,2,3,0
The Game of Their Lives,0.076,0.0,0,2,3,0
The Third Wave,0.035,0.147,1,0,1,4
The Concrete Jungle,0.076,0.07200000000000001,0,2,3,0
Who Was That Lady?,0.12300000000000001,0.081,0,1,0,2
Kartik calling kartik,0.11900000000000001,0.12,0,1,1,2
Frankenstein Meets the Space Monster,0.019,0.157,1,0,1,4
Brother Brat,0.0,0.038,0,2,3,0
Journey to Wisdom,0.077,0.051,0,2,3,0
Star Spangled Girl,0.127,0.1,0,1,0,2
No Way Out,0.0,0.18,1,0,2,1
The Count of Monte Cristo,0.126,0.102,0,1,0,2
Tower of Love,0.106,0.0,0,2,3,0
Quatermass 2,0.061,0.077,0,2,3,0
Roxy Hunter and the Mystery of the Moody Ghost,0.217,0.159,0,1,0,2
Strays,0.052000000000000005,0.115,1,2,1,4
The Sign of the Ram,0.03,0.155,1,0,1,4
Suburban Roulette,0.027999999999999997,0.095,1,2,3,4
Please Believe Me,0.10400000000000001,0.12,0,2,1,2
Kemper: The CoEd Killer,0.039,0.23600000000000002,1,0,2,1
If Lucy Fell,0.17300000000000001,0.077,0,1,0,3
Cleopatra,0.062,0.111,1,2,1,4
Sleepless,0.033,0.28600000000000003,1,0,2,1
The Great Water,0.067,0.087,0,2,3,0
Real Steel,0.154,0.129,0,1,0,2
The Woodsman,0.083,0.152,1,0,1,4
Chocolate,0.20199999999999999,0.023,0,1,0,3
The Bumblebee Flies Anyway,0.071,0.138,1,0,1,4
Superman and the Mole Men,0.04,0.155,1,0,1,4
Sing You Sinners,0.081,0.047,0,2,3,0
My Boss's Daughter,0.08800000000000001,0.17,1,0,1,1
Recoil,0.039,0.257,1,0,2,1
Jayasimha,0.08,0.134,1,0,1,4
Calamity Jane,0.159,0.086,0,1,0,3
Prodigal Sons,0.038,0.12300000000000001,1,2,1,4
Invisible,0.054000000000000006,0.29600000000000004,1,0,2,1
Diggstown,0.107,0.147,1,0,1,2
Abbott and Costello Meet Frankenstein,0.066,0.066,0,2,3,0
Passenger 57,0.09,0.109,0,2,1,2
180° South,0.038,0.017,0,2,3,0
Folly to Be Wise,0.105,0.07400000000000001,0,2,3,2
Lost Boundaries,0.08,0.087,0,2,3,0
Beast of the Yellow Night,0.0,0.353,1,0,2,1
Harry Potter and the Goblet of Fire,0.073,0.12300000000000001,1,2,1,4
Julius Sizzer,0.147,0.0,0,1,0,3
The Love of Siam,0.146,0.08800000000000001,0,1,0,2
"Time, Forward!",0.0,0.0,0,2,3,0
Çılgın dersane kampta,0.040999999999999995,0.193,1,0,2,1
Citizen Ruth,0.08,0.084,0,2,3,0
