Title,pos,neg,k=2,k=3,k=4,k=5
Fly Away,0.145,0.099,0,1,0,2
RoboCop 3,0.051,0.145,1,0,1,4
Carter’s Army,0.122,0.115,0,1,1,2
Gagamboy,0.071,0.065,0,2,3,0
Aval Varuvala,0.155,0.145,1,1,0,2
Rogues' Regiment,0.076,0.23399999999999999,1,0,2,1
Tradition is a Temple,0.121,0.027999999999999997,0,1,0,0
Martha,0.094,0.131,1,0,1,2
Hell Boats,0.034,0.046,0,2,3,0
The Forbidden Kingdom,0.075,0.126,1,0,1,4
Eagle's Wing,0.10400000000000001,0.207,1,0,2,1
Asylum Seekers,0.07200000000000001,0.115,1,2,1,4
Toll Booth,0.042,0.08,0,2,3,0
Superman,0.087,0.124,1,2,1,2
Boy called Twist,0.084,0.152,1,0,1,4
Bleeder,0.062,0.095,0,2,1,4
If They Tell You I Fell,0.07200000000000001,0.14,1,0,1,4
Ken Russell's Fall of the Louse of Usher,0.044000000000000004,0.21899999999999997,1,0,2,1
Lord of the Flies,0.04,0.135,1,0,1,4
Without Warning,0.033,0.134,1,0,1,4
A Father for Brittany,0.086,0.15,1,0,1,4
The Devil’s Gift,0.048,0.127,1,0,1,4
On the Beach,0.084,0.034,0,2,3,0
Trial and Error,0.13,0.085,0,1,0,2
Ajooba,0.07400000000000001,0.113,1,2,1,4
Taxi,0.14400000000000002,0.032,0,1,0,3
When Will I Be Loved,0.08800000000000001,0.061,0,2,3,0
From the Drain,0.0,0.105,1,2,1,4
Necessary Roughness,0.09699999999999999,0.08199999999999999,0,2,3,2
Song of the Islands,0.23,0.0,0,1,0,3
The Aviary,0.086,0.053,0,2,3,0
Sweeney Todd: The Demon Barber of Fleet Street,0.063,0.129,1,0,1,4
Raju Chacha,0.133,0.11199999999999999,0,1,0,2
Hula-La-La,0.086,0.102,0,2,1,2
The Lady from Peking,0.086,0.124,1,2,1,2
Chaplin,0.1,0.032,0,2,3,0
Nothing to Lose,0.066,0.075,0,2,3,0
Barah Aana,0.128,0.024,0,1,0,3
Beyond the Time Barrier,0.047,0.106,1,2,1,4
"The Prophet, the Gold and the Transylvanians",0.075,0.055999999999999994,0,2,3,0
Friday the 13th: The Final Chapter,0.055999999999999994,0.126,1,2,1,4
The Stoker,0.18,0.122,0,1,0,2
Mon Mane Na,0.048,0.057,0,2,3,0
Il Cuore nel Pozzo,0.06,0.14800000000000002,1,0,1,4
I'm Losing You,0.036000000000000004,0.201,1,0,2,1
Beastmaster 2: Through the Portal of Time,0.091,0.07200000000000001,0,2,3,0
Amy,0.163,0.0,0,1,0,3
Over the Rainbow,0.091,0.125,1,2,1,2
Chala Murari Hero Banne,0.242,0.063,0,1,0,3
The Enemy,0.0,0.335,1,0,2,1
Spiderhole,0.028999999999999998,0.068,0,2,3,0
Herod's Law,0.061,0.107,1,2,1,4
Daughters,0.09,0.125,1,2,1,2
Ziddi,0.158,0.049,0,1,0,3
National Lampoon's Class Reunion,0.091,0.147,1,0,1,2
I Will Repay,0.084,0.16899999999999998,1,0,1,4
Thief of Damascus,0.115,0.128,1,0,1,2
Picture Bride,0.10099999999999999,0.064,0,2,3,0
Black Rider,0.034,0.087,0,2,3,4
Chick Magnet,0.161,0.161,1,1,1,2
My Little Pony: Twinkle Wish Adventure,0.318,0.063,0,1,0,3
Green Dolphin Street,0.132,0.174,1,0,1,2
Nell,0.095,0.106,0,2,1,2
Keep in Style,0.125,0.0,0,1,0,0
Pelli Naati Pramanalu,0.11699999999999999,0.013000000000000001,0,1,3,0
Monkey Business,0.06,0.040999999999999995,0,2,3,0
The Teacher,0.106,0.153,1,0,1,2
Seoul Jesus,0.153,0.0,0,1,0,3
The Man with the Perfect Swing,0.26,0.10099999999999999,0,1,0,3
Dharma Seelan,0.037000000000000005,0.039,0,2,3,0
Someone to Watch Over Me,0.113,0.08199999999999999,0,1,0,2
Monsters Crash the Pajama Party,0.0,0.064,0,2,3,0
I Could Never Be Your Woman,0.146,0.0,0,1,0,3
9 Dead Gay Guys,0.067,0.11599999999999999,1,2,1,4
Dayman Ma`ak,0.11199999999999999,0.14300000000000002,1,0,1,2
Allonsanfàn,0.11,0.198,1,0,2,1
The Careless Years,0.107,0.0,0,2,3,0
Atentat,0.043,0.154,1,0,1,4
Red Beard,0.13699999999999998,0.157,1,0,1,2
Amar Bondhu Rashed,0.098,0.122,1,2,1,2
Sharpe's Siege,0.085,0.134,1,0,1,4
Cyrano Agency,0.053,0.043,0,2,3,0
Knife in the Water,0.03,0.08800000000000001,0,2,3,4
The Impatient Patient,0.063,0.065,0,2,3,0
Amador,0.0,0.11199999999999999,1,2,1,4
Perrier's Bounty,0.06,0.13,1,0,1,4
Salvage with a Smile,0.281,0.10099999999999999,0,1,0,3
Mamarazzi,0.193,0.076,0,1,0,3
Squibs,0.223,0.039,0,1,0,3
George and Mildred,0.095,0.126,1,0,1,2
Kireedam,0.07200000000000001,0.171,1,0,1,1
Crime Doctor,0.066,0.083,0,2,3,0
Suburban Girl,0.057,0.068,0,2,3,0
Is This Love?,0.08199999999999999,0.07400000000000001,0,2,3,0
Boot Polish,0.076,0.07200000000000001,0,2,3,0
Yamraaj,0.126,0.125,0,1,1,2
Kadosh,0.125,0.053,0,1,0,0
College Coach,0.147,0.061,0,1,0,3
Tanging Yaman,0.07,0.08900000000000001,0,2,3,0
Indien,0.142,0.055,0,1,0,3
Anbe Vaa,0.11800000000000001,0.02,0,1,3,0
German for Kids,0.06,0.057,0,2,3,0
Grace of My Heart,0.10300000000000001,0.127,1,0,1,2
Images,0.036000000000000004,0.154,1,0,1,4
How They Get There,0.02,0.1,1,2,1,4
God's Gift to Women,0.18600000000000003,0.099,0,1,0,3
The Seinfeld Chronicles,0.039,0.03,0,2,3,0
The Gorgon,0.064,0.27,1,0,2,1
The Prime of Miss Jean Brodie,0.043,0.162,1,0,1,4
Sioux City,0.106,0.0,0,2,3,0
Count Your Blessings,0.20800000000000002,0.051,0,1,0,3
The Moment After 2: The Awakening,0.079,0.182,1,0,2,1
Garage Days,0.067,0.10300000000000001,0,2,1,4
"Laugh, Clown, Laugh",0.20800000000000002,0.105,0,1,0,3
Puccini for Beginners,0.20199999999999999,0.033,0,1,0,3
A Shot in the Dark,0.046,0.262,1,0,2,1
Meeting Se Meeting Tak,0.374,0.0,0,1,0,3
Half-Fare Hare,0.0,0.083,1,2,3,4
The Angels Wash Their Faces,0.11699999999999999,0.132,1,0,1,2
It's Breaking News,0.099,0.129,1,0,1,2
Shaft,0.042,0.057999999999999996,0,2,3,0
The Ghost of Slumber Mountain,0.09699999999999999,0.177,1,0,2,1
Just Wright,0.16399999999999998,0.053,0,1,0,3
Casper: A Spirited Beginning,0.10400000000000001,0.139,1,0,1,2
Breaking the Surface: The Greg Louganis Story,0.09699999999999999,0.198,1,0,2,1
The Big Trees,0.018000000000000002,0.136,1,0,1,4
Bhopal: Prayer for Rain,0.0,0.233,1,0,2,1
Betaab,0.185,0.087,0,1,0,3
Bless the Child,0.114,0.14,1,0,1,2
Mengejar Mas-Mas,0.07,0.172,1,0,2,1
Secrets,0.07400000000000001,0.099,0,2,1,4
Senza pietà,0.1,0.213,1,0,2,1
Grizzly II: The Predator,0.063,0.06,0,2,3,0
The Program,0.10800000000000001,0.10400000000000001,0,2,1,2
Flesh,0.06,0.024,0,2,3,0
Cannibal Apocalypse,0.023,0.091,1,2,3,4
Pink Blue Plate,0.0,0.045,0,2,3,0
Secret of the Telegian,0.018000000000000002,0.145,1,0,1,4
San Francisco,0.16,0.057,0,1,0,3
Only For You,0.256,0.034,0,1,0,3
13 Ghosts,0.039,0.16399999999999998,1,0,1,4
The Emperor's Shadow,0.094,0.096,0,2,1,2
Aurore,0.036000000000000004,0.154,1,0,1,4
Unforgivable,0.10099999999999999,0.11900000000000001,0,2,1,2
The Book of Stars,0.07400000000000001,0.138,1,0,1,4
Romasanta,0.061,0.165,1,0,1,4
